Ticker,Company Name,Industry,Sector,Year, Market Cap , Tangible Book Value , Goodwill , Other Intangible Assets ,Multiplier,Data Value ,Data Value as % of Market Cap
MMM,3M Company,Conglomerates,Industrials,2024,69691164332,-3597000000,6281000000,1210000000,0.1625,13126614204,0.1884
MMM,3M Company,Conglomerates,Industrials,2023,47198958978,-2837000000,6382000000,1323000000,0.1625,9382905834,0.1988
MMM,3M Company,Conglomerates,Industrials,2022,49526986414,-2719000000,12790000000,4699000000,0.1625,11331935292,0.2288
MMM,3M Company,Conglomerates,Industrials,2021,69834102674,-3657000000,13486000000,5288000000,0.1625,14993079185,0.2147
MMM,3M Company,Conglomerates,Industrials,2020,66114201121,,,,0.1625,10743557682,0.1625
AOS,A. O. Smith Corporation,Specialty Industrial Machinery,Industrials,2024,7989273539,800700000,761700000,321100000,0.1625,1344098200,0.1682
AOS,A. O. Smith Corporation,Specialty Industrial Machinery,Industrials,2023,9351612863,874300000,633400000,336700000,0.1625,1535204590,0.1642
AOS,A. O. Smith Corporation,Specialty Industrial Machinery,Industrials,2022,6578366138,780100000,619700000,347900000,0.1625,1099453247,0.1671
AOS,A. O. Smith Corporation,Specialty Industrial Machinery,Industrials,2021,9449581282,839600000,627800000,364800000,0.1625,1560419458,0.1651
AOS,A. O. Smith Corporation,Specialty Industrial Machinery,Industrials,2020,5977848027,,,,0.1625,971400304.3,0.1625
ABT,Abbott Laboratories,Medical Devices,Healthcare,2024,1.97E+11,18146000000,23108000000,6647000000,0.1625,33820854711,0.1721
ABT,Abbott Laboratories,Medical Devices,Healthcare,2023,1.86E+11,6333000000,23679000000,8815000000,0.1625,34480627770,0.1854
ABT,Abbott Laboratories,Medical Devices,Healthcare,2022,1.82E+11,3652000000,22799000000,10454000000,0.1625,34331193856,0.189
ABT,Abbott Laboratories,Medical Devices,Healthcare,2021,2.28E+11,54000000,23231000000,12739000000,0.1625,42928358809,0.1881
ABT,Abbott Laboratories,Medical Devices,Healthcare,2020,1.74E+11,,,,0.1625,28352722493,0.1625
ABBV,AbbVie Inc.,Drug Manufacturers - General,Healthcare,2024,3.13E+11,-56704000000,34956000000,25112000000,0.1625,69844114881,0.2231
ABBV,AbbVie Inc.,Drug Manufacturers - General,Healthcare,2023,2.66E+11,-45213000000,32293000000,23317000000,0.1625,59593422722,0.2241
ABBV,AbbVie Inc.,Drug Manufacturers - General,Healthcare,2022,2.64E+11,-50152000000,32156000000,35283000000,0.1625,62039071509,0.2348
ABBV,AbbVie Inc.,Drug Manufacturers - General,Healthcare,2021,2.11E+11,-60515000000,32379000000,43572000000,0.1625,56526316476,0.2674
ABBV,AbbVie Inc.,Drug Manufacturers - General,Healthcare,2020,1.57E+11,,,,0.1625,25512987432,0.1625
ACN,Accenture plc,Information Technology Services,Technology,2024,2.12E+11,5144038000,21120179000,2904031000,0.45,1.0406E+11,0.49
ACN,Accenture plc,Information Technology Services,Technology,2023,1.99E+11,8812633000,15573003000,2072957000,0.45,93448739130,0.47
